$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.13 04:00:10
$Filename; CO2FT_A ZeroCycle 20211213 040010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.13 04:00:14	12288	1	NaN	NaN	1023.430000	997.920000	1.000000	0.000000	20549.000000	15154.000000	46.700000	405.042000	453.000000	66666.000000	394.120000	50.008000	31.840000	28.390000	388.150000	66666.000000	66666.000000
2021.12.13 04:00:15	12288	1	NaN	NaN	1023.490000	997.900000	1.000000	0.000000	20642.000000	15152.000000	46.700000	378.294000	391.000000	66666.000000	365.080000	50.004000	31.829000	32.444000	359.550000	66666.000000	66666.000000
2021.12.13 04:00:16	12288	1	NaN	NaN	1023.500000	997.940000	1.000000	0.000000	20736.000000	15148.000000	46.700000	350.494000	360.000000	66666.000000	336.040000	49.983000	31.849000	34.898000	330.960000	66666.000000	66666.000000
2021.12.13 04:00:17	12288	1	NaN	NaN	1023.600000	997.930000	1.000000	0.000000	20926.000000	15146.000000	46.700000	296.610000	331.000000	66666.000000	282.850000	50.007000	31.869000	36.458000	278.570000	66666.000000	66666.000000
2021.12.13 04:00:18	12288	1	NaN	NaN	1023.600000	997.960000	1.000000	0.000000	21020.000000	15143.000000	46.700000	269.165000	275.000000	66666.000000	257.360000	50.007000	31.869000	36.458000	253.480000	66666.000000	66666.000000
2021.12.13 04:00:19	12288	1	NaN	NaN	1023.560000	997.940000	1.000000	0.000000	21115.000000	15142.000000	46.700000	242.210000	248.000000	66666.000000	233.370000	50.008000	31.859000	37.402000	229.840000	66666.000000	66666.000000
2021.12.13 04:00:20	12288	1	NaN	NaN	1023.640000	997.930000	1.000000	0.000000	21209.000000	15138.000000	46.700000	214.356000	223.000000	66666.000000	209.640000	49.996000	31.829000	38.005000	206.470000	66666.000000	66666.000000
2021.12.13 04:00:21	12288	1	NaN	NaN	1023.560000	997.970000	1.000000	0.000000	21398.000000	15136.000000	46.700000	160.697000	198.000000	66666.000000	167.140000	49.996000	31.869000	38.412000	164.620000	66666.000000	66666.000000
2021.12.13 04:00:22	12288	1	NaN	NaN	1023.600000	997.970000	1.000000	0.000000	21493.000000	15133.000000	46.700000	132.929000	151.000000	66666.000000	146.730000	50.008000	31.840000	38.678000	144.520000	66666.000000	66666.000000
2021.12.13 04:00:23	12288	1	NaN	NaN	1023.610000	998.000000	1.000000	0.000000	21587.000000	15131.000000	46.700000	105.827000	129.000000	66666.000000	127.890000	49.998000	31.859000	38.882000	125.960000	66666.000000	66666.000000
2021.12.13 04:00:24	12288	1	NaN	NaN	1023.640000	997.960000	1.000000	0.000000	21776.000000	15126.000000	46.700000	50.920000	108.000000	66666.000000	92.920000	50.000000	31.859000	38.882000	91.520000	66666.000000	66666.000000
2021.12.13 04:00:25	12288	1	NaN	NaN	1023.680000	998.010000	1.000000	0.000000	21871.000000	15124.000000	46.700000	23.516000	88.000000	66666.000000	77.080000	50.001000	31.869000	38.950000	75.920000	66666.000000	66666.000000
2021.12.13 04:00:26	12288	1	NaN	NaN	1023.610000	998.000000	1.000000	0.000000	21966.000000	15122.000000	46.700000	-3.894000	50.000000	66666.000000	62.310000	49.992000	31.880000	39.085000	61.370000	66666.000000	66666.000000
2021.12.13 04:00:27	12288	1	NaN	NaN	1023.670000	998.040000	1.000000	0.000000	22060.000000	15117.000000	46.700000	-32.259000	32.000000	66666.000000	48.150000	49.992000	31.880000	39.119000	47.430000	66666.000000	66666.000000
2021.12.13 04:00:28	12288	1	NaN	NaN	1023.700000	998.050000	1.000000	0.000000	22210.000000	15116.000000	46.700000	-74.688000	15.000000	66666.000000	29.120000	50.002000	31.880000	39.152000	28.690000	66666.000000	66666.000000
2021.12.13 04:00:29	12288	1	NaN	NaN	1023.600000	998.030000	1.000000	0.000000	22225.000000	15116.000000	46.700000	-78.889000	6.000000	66666.000000	27.380000	49.988000	31.869000	39.218000	26.960000	66666.000000	66666.000000
2021.12.13 04:00:30	12288	1	NaN	NaN	1023.650000	998.050000	1.000000	0.000000	22229.000000	15116.000000	46.700000	-80.010000	3.000000	66666.000000	26.920000	49.989000	31.869000	39.218000	26.510000	66666.000000	66666.000000
2021.12.13 04:00:31	12288	1	NaN	NaN	1023.700000	998.070000	1.000000	0.000000	22230.000000	15116.000000	46.700000	-80.290000	2.000000	66666.000000	26.800000	49.991000	31.889000	39.287000	26.400000	66666.000000	66666.000000
2021.12.13 04:00:32	12288	1	NaN	NaN	1023.680000	998.090000	1.000000	0.000000	22231.000000	15116.000000	46.700000	-80.570000	2.000000	66666.000000	26.690000	49.991000	31.869000	39.285000	26.290000	66666.000000	66666.000000
2021.12.13 04:00:33	12288	1	NaN	NaN	1023.700000	998.080000	1.000000	0.000000	22231.000000	15116.000000	46.700000	-80.570000	2.000000	66666.000000	26.690000	50.006000	31.889000	39.354000	26.290000	66666.000000	66666.000000
2021.12.13 04:00:34	0	0	NaN	NaN	1023.650000	998.090000	1.000000	0.000000	22231.000000	15116.000000	46.700000	-80.570000	2.000000	66666.000000	26.680000	50.005000	31.880000	39.286000	26.290000	66666.000000	66666.000000
2021.12.13 04:00:35	0	0	NaN	NaN	1023.650000	998.110000	1.000000	0.000000	22231.000000	15116.000000	46.700000	-80.570000	2.000000	66666.000000	26.680000	50.005000	31.880000	39.286000	26.290000	66666.000000	66666.000000
2021.12.13 04:00:36	0	0	NaN	NaN	1023.700000	998.140000	1.000000	0.000000	22231.000000	15116.000000	46.700000	-80.570000	2.000000	66666.000000	26.680000	50.002000	31.899000	39.322000	26.290000	66666.000000	66666.000000
2021.12.13 04:00:37	0	0	NaN	NaN	1023.700000	998.150000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.570000	49.988000	31.869000	39.352000	26.180000	66666.000000	66666.000000
2021.12.13 04:00:38	0	0	NaN	NaN	1023.720000	998.140000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.570000	49.992000	31.899000	39.389000	26.170000	66666.000000	66666.000000
2021.12.13 04:00:39	0	0	NaN	NaN	1023.700000	998.140000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.570000	49.988000	31.889000	39.354000	26.170000	66666.000000	66666.000000
2021.12.13 04:00:40	0	0	NaN	NaN	1023.670000	998.120000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.570000	49.992000	31.859000	39.485000	26.180000	66666.000000	66666.000000
2021.12.13 04:00:41	0	0	NaN	NaN	1023.740000	998.140000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.580000	49.989000	31.859000	39.485000	26.180000	66666.000000	66666.000000
2021.12.13 04:00:42	0	0	NaN	NaN	1023.720000	998.140000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.570000	49.992000	31.880000	39.387000	26.180000	66666.000000	66666.000000
