$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.04 00:00:01
$Filename; CO2FT_A_Conc_Estimate_20211204.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Conc_Estimate, ppm; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, ppm; Float
$8; Maximum; ppm; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Conc_Estimate	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	ppm	Flags	Cnt	Sec	MR	ppm	ppm	Units	Deg	Deg	Units	Flags
2021.12.04 00:00:00	1352.583333	128	60	59	1	1352.000000	1353.000000	0.247175	NaN	NaN	1352.583333	8388608
2021.12.04 00:01:00	374.972973	128	37	59	1	13.000000	1353.000000	363592.860360	NaN	NaN	374.972973	8388617
2021.12.04 00:02:00	13.000000	128	59	59	1	13.000000	13.000000	0.000000	NaN	NaN	13.000000	8388617
2021.12.04 00:03:00	520.442308	128	52	61	1	13.000000	729.000000	76130.565234	NaN	NaN	520.442308	8388609
2021.12.04 00:04:00	747.833333	16512	60	60	1	730.000000	764.000000	94.887006	NaN	NaN	747.833333	8388617
2021.12.04 00:05:00	775.933333	16512	60	60	1	764.000000	787.000000	46.775141	NaN	NaN	775.933333	8388609
2021.12.04 00:06:00	796.118644	16512	59	59	1	787.000000	804.000000	25.623612	NaN	NaN	796.118644	8388609
2021.12.04 00:07:00	812.754098	16512	61	62	1	804.000000	820.000000	20.788525	NaN	NaN	812.754098	8388609
2021.12.04 00:08:00	827.200000	16512	60	60	1	820.000000	834.000000	14.230508	NaN	NaN	827.200000	8388609
2021.12.04 00:09:00	839.300000	16512	60	59	1	834.000000	845.000000	10.281356	NaN	NaN	839.300000	8388609
2021.12.04 00:10:00	850.050000	16512	60	60	1	845.000000	856.000000	9.166949	NaN	NaN	850.050000	8388617
2021.12.04 00:11:00	860.183333	16512	60	60	1	856.000000	865.000000	7.575989	NaN	NaN	860.183333	8388617
2021.12.04 00:12:00	869.766667	16512	60	60	1	865.000000	874.000000	7.164972	NaN	NaN	869.766667	8388617
2021.12.04 00:13:00	878.350000	16512	60	60	1	875.000000	883.000000	6.468644	NaN	NaN	878.350000	8388609
2021.12.04 00:14:00	886.633333	16512	60	60	1	883.000000	890.000000	4.202260	NaN	NaN	886.633333	8388609
