$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.17 00:00:08
$Filename; CO2FT_A_H_Gas_20211217.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; H_Gas, %RH; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, %RH; Float
$8; Maximum; %RH; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	H_Gas	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	%RH	Flags	Cnt	Sec	MR	%RH	%RH	Units	Deg	Deg	Units	Flags
2021.12.17 00:00:00	19.466867	0	60	60	1	19.405000	19.478000	0.000515	NaN	NaN	19466.866667	0
2021.12.17 00:01:00	34.810289	0	38	60	1	19.406000	41.195000	98.629706	NaN	NaN	34810.289474	9
2021.12.17 00:02:00	41.351083	0	60	60	1	41.195000	41.499000	0.006382	NaN	NaN	41351.083333	0
2021.12.17 00:03:00	23.377667	16384	51	60	1	20.047000	41.533000	47.423669	NaN	NaN	23377.666667	1
2021.12.17 00:04:00	20.031033	16384	60	60	1	19.976000	20.081000	0.000725	NaN	NaN	20031.033333	1
2021.12.17 00:05:00	19.969883	16384	60	60	1	19.908000	19.980000	0.000388	NaN	NaN	19969.883333	1
2021.12.17 00:06:00	19.917967	16384	60	60	1	19.907000	19.980000	0.000360	NaN	NaN	19917.966667	1
2021.12.17 00:07:00	19.905567	16384	60	60	1	19.839000	19.913000	0.000291	NaN	NaN	19905.566667	1
2021.12.17 00:08:00	19.884250	16384	60	60	1	19.840000	19.913000	0.000817	NaN	NaN	19884.250000	9
2021.12.17 00:09:00	19.847283	16384	60	60	1	19.807000	19.913000	0.000287	NaN	NaN	19847.283333	1
2021.12.17 00:10:00	19.793450	16384	60	60	1	19.771000	19.844000	0.000946	NaN	NaN	19793.450000	1
2021.12.17 00:11:00	19.721033	16384	60	60	1	19.665000	19.773000	0.000865	NaN	NaN	19721.033333	1
2021.12.17 00:12:00	19.679233	16384	60	60	1	19.629000	19.702000	0.000862	NaN	NaN	19679.233333	1
2021.12.17 00:13:00	19.602833	16384	60	60	1	19.523000	19.702000	0.001960	NaN	NaN	19602.833333	9
2021.12.17 00:14:00	19.490617	16384	60	60	1	19.452000	19.559000	0.000357	NaN	NaN	19490.616667	9
