$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.03 00:00:01
$Filename; CO2FT_A_P_In_20211203.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_In, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_In	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.03 00:00:00	992.894000	128	60	60	1	992.780000	993.000000	0.004696	NaN	NaN	99289.400000	8388608
2021.12.03 00:01:00	989.384324	128	37	60	1	988.040000	992.990000	4.676925	NaN	NaN	98938.432432	8388617
2021.12.03 00:02:00	988.193898	128	59	59	1	988.110000	988.260000	0.001904	NaN	NaN	98819.389831	8388608
2021.12.03 00:03:00	990.459608	128	51	60	1	988.250000	991.410000	0.444040	NaN	NaN	99045.960784	8388609
2021.12.03 00:04:00	990.621667	16512	60	59	1	990.500000	990.750000	0.004685	NaN	NaN	99062.166667	8388609
2021.12.03 00:05:00	990.661311	16512	61	61	1	990.530000	990.790000	0.004468	NaN	NaN	99066.131148	8388609
2021.12.03 00:06:00	990.694500	16512	60	60	1	990.550000	990.820000	0.004879	NaN	NaN	99069.450000	8388617
2021.12.03 00:07:00	990.710833	16512	60	60	1	990.600000	990.820000	0.004625	NaN	NaN	99071.083333	8388609
2021.12.03 00:08:00	990.730667	16512	60	60	1	990.600000	990.840000	0.004416	NaN	NaN	99073.066667	8388609
2021.12.03 00:09:00	990.745424	16512	59	59	1	990.600000	990.860000	0.004605	NaN	NaN	99074.542373	8388609
2021.12.03 00:10:00	990.763607	16512	61	61	1	990.640000	990.880000	0.004853	NaN	NaN	99076.360656	8388609
2021.12.03 00:11:00	990.764167	16512	60	60	1	990.640000	990.870000	0.004404	NaN	NaN	99076.416667	8388617
2021.12.03 00:12:00	990.766500	16512	60	60	1	990.650000	990.870000	0.004138	NaN	NaN	99076.650000	8388609
2021.12.03 00:13:00	990.759167	16512	60	60	1	990.640000	990.860000	0.004038	NaN	NaN	99075.916667	8388617
2021.12.03 00:14:00	990.770167	16512	60	60	1	990.660000	990.870000	0.004171	NaN	NaN	99077.016667	8388609
2021.12.03 00:15:00	990.764667	16512	60	60	1	990.640000	990.870000	0.005069	NaN	NaN	99076.466667	8388609
2021.12.03 00:16:00	990.767797	16512	59	59	1	990.640000	990.870000	0.003904	NaN	NaN	99076.779661	8388609
2021.12.03 00:17:00	990.781475	16512	61	61	1	990.660000	990.880000	0.005119	NaN	NaN	99078.147541	8388609
2021.12.03 00:18:00	990.795167	16512	60	60	1	990.690000	990.910000	0.004039	NaN	NaN	99079.516667	8388609
2021.12.03 00:19:00	990.796833	128	60	61	1	990.660000	990.910000	0.004588	NaN	NaN	99079.683333	8388617
2021.12.03 00:20:00	990.797797	128	59	58	1	990.680000	990.910000	0.004845	NaN	NaN	99079.779661	8388608
2021.12.03 00:21:00	990.803607	128	61	61	1	990.710000	990.900000	0.003673	NaN	NaN	99080.360656	8388608
2021.12.03 00:22:00	990.814667	128	60	60	1	990.710000	990.940000	0.004307	NaN	NaN	99081.466667	8388617
2021.12.03 00:23:00	990.812000	128	60	60	1	990.690000	990.930000	0.003806	NaN	NaN	99081.200000	8388608
2021.12.03 00:24:00	990.811667	128	60	60	1	990.690000	990.930000	0.004397	NaN	NaN	99081.166667	8388608
2021.12.03 00:25:00	990.817167	128	60	60	1	990.680000	990.930000	0.004343	NaN	NaN	99081.716667	8388608
