$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.15 00:00:00
$Filename; CO2FT_A_P_NDIR_20211215.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_NDIR, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_NDIR	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.15 00:00:00	1014.800500	0	60	60	1	1014.670000	1014.920000	0.004381	NaN	NaN	101480.050000	0
2021.12.15 00:01:00	1022.781892	0	37	60	1	1014.740000	1026.220000	27.705488	NaN	NaN	102278.189189	9
2021.12.15 00:02:00	1026.357167	0	60	60	1	1026.210000	1026.510000	0.007729	NaN	NaN	102635.716667	9
2021.12.15 00:03:00	1017.591373	16384	51	60	1	1016.470000	1026.540000	7.888452	NaN	NaN	101759.137255	1
2021.12.15 00:04:00	1016.593833	16384	60	60	1	1016.460000	1016.730000	0.006034	NaN	NaN	101659.383333	9
2021.12.15 00:05:00	1016.629333	16384	60	60	1	1016.500000	1016.750000	0.005220	NaN	NaN	101662.933333	1
2021.12.15 00:06:00	1016.657000	16384	60	60	1	1016.530000	1016.770000	0.004689	NaN	NaN	101665.700000	9
2021.12.15 00:07:00	1016.664167	16384	60	60	1	1016.500000	1016.770000	0.005370	NaN	NaN	101666.416667	9
2021.12.15 00:08:00	1016.659667	16384	60	60	1	1016.530000	1016.790000	0.004658	NaN	NaN	101665.966667	1
2021.12.15 00:09:00	1016.691167	16384	60	60	1	1016.530000	1016.800000	0.004756	NaN	NaN	101669.116667	1
2021.12.15 00:10:00	1016.690833	16384	60	60	1	1016.540000	1016.830000	0.005228	NaN	NaN	101669.083333	1
2021.12.15 00:11:00	1016.702000	16384	60	60	1	1016.540000	1016.830000	0.006040	NaN	NaN	101670.200000	9
2021.12.15 00:12:00	1016.659833	16384	60	60	1	1016.500000	1016.790000	0.004880	NaN	NaN	101665.983333	9
2021.12.15 00:13:00	1016.562167	16384	60	60	1	1016.360000	1016.720000	0.006082	NaN	NaN	101656.216667	1
