$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.02 00:00:09
$Filename; CO2FT_A_Signal_Proc_20211202.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Proc, digits; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, digits; Float
$8; Maximum; digits; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Proc	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	digits	Flags	Cnt	Sec	MR	digits	digits	Units	Deg	Deg	Units	Flags
2021.12.02 00:00:00	2029.806833	128	60	60	1	2029.570000	2030.393000	0.049215	NaN	NaN	2029806.833333	8388617
2021.12.02 00:01:00	559.730108	128	37	59	1	-64.152000	2030.121000	939966.459991	NaN	NaN	559730.108108	8388617
2021.12.02 00:02:00	-64.579016	128	61	60	1	-64.993000	-64.152000	0.058064	NaN	NaN	-64579.016393	8388617
2021.12.02 00:03:00	1103.508980	128	51	60	1	-65.273000	1512.378000	341171.445427	NaN	NaN	1103508.980392	8388609
2021.12.02 00:04:00	1529.675500	16512	60	59	1	1512.937000	1543.708000	80.591552	NaN	NaN	1529675.500000	8388617
2021.12.02 00:05:00	1554.143593	16512	59	59	1	1544.521000	1563.527000	32.088202	NaN	NaN	1554143.593220	8388617
2021.12.02 00:06:00	1571.717082	16512	61	60	1	1563.527000	1579.144000	20.483360	NaN	NaN	1571717.081967	8388617
2021.12.02 00:07:00	1585.510583	16512	60	60	1	1579.423000	1591.455000	12.308265	NaN	NaN	1585510.583333	8388609
2021.12.02 00:08:00	1596.800610	16512	59	60	1	1591.455000	1602.088000	10.360265	NaN	NaN	1596800.610169	8388617
2021.12.02 00:09:00	1606.697525	16512	61	61	1	1602.088000	1611.582000	8.087146	NaN	NaN	1606697.524590	8388609
2021.12.02 00:10:00	1615.747867	16512	60	60	1	1611.562000	1619.940000	6.076712	NaN	NaN	1615747.866667	8388609
2021.12.02 00:11:00	1624.177833	16512	60	59	1	1620.220000	1628.323000	5.464050	NaN	NaN	1624177.833333	8388609
2021.12.02 00:12:00	1631.676883	16512	60	59	1	1628.323000	1635.286000	3.826719	NaN	NaN	1631676.883333	8388609
2021.12.02 00:13:00	1639.059867	16512	60	60	1	1635.286000	1642.286000	4.649878	NaN	NaN	1639059.866667	8388609
2021.12.02 00:14:00	1645.702800	16512	60	60	1	1642.286000	1649.267000	4.025494	NaN	NaN	1645702.800000	8388617
2021.12.02 00:15:00	1652.554500	16512	60	60	1	1649.267000	1655.724000	3.814958	NaN	NaN	1652554.500000	8388617
2021.12.02 00:16:00	1658.790950	16512	60	60	1	1655.707000	1661.867000	3.231413	NaN	NaN	1658790.950000	8388617
