$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.12 00:00:05
$Filename; CO2FT_A_Signal_Raw_20211212.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Raw, LSB; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, LSB; Float
$8; Maximum; LSB; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Raw	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	LSB	Flags	Cnt	Sec	MR	LSB	LSB	Units	Deg	Deg	Units	Flags
2021.12.12 00:00:00	20464.688525	0	61	61	1	20464.000000	20466.000000	0.251366	NaN	NaN	20464.688525	0
2021.12.12 00:01:00	21673.437500	0	32	59	1	20464.000000	22224.000000	686329.866935	NaN	NaN	21673.437500	9
2021.12.12 00:02:00	22224.000000	0	60	60	1	22223.000000	22225.000000	0.135593	NaN	NaN	22224.000000	9
2021.12.12 00:03:00	21427.509804	16384	51	60	1	21077.000000	22223.000000	188267.054902	NaN	NaN	21427.509804	9
2021.12.12 00:04:00	21012.733333	16384	60	60	1	20957.000000	21075.000000	1187.859887	NaN	NaN	21012.733333	1
2021.12.12 00:05:00	20905.573770	16384	61	61	1	20860.000000	20956.000000	756.548634	NaN	NaN	20905.573770	9
2021.12.12 00:06:00	20822.288136	16384	59	59	1	20786.000000	20859.000000	451.208650	NaN	NaN	20822.288136	9
2021.12.12 00:07:00	20753.983607	16384	61	61	1	20724.000000	20785.000000	325.883060	NaN	NaN	20753.983607	1
2021.12.12 00:08:00	20699.766667	16384	60	59	1	20677.000000	20724.000000	188.148023	NaN	NaN	20699.766667	9
2021.12.12 00:09:00	20656.813559	16384	59	59	1	20639.000000	20676.000000	121.981882	NaN	NaN	20656.813559	9
2021.12.12 00:10:00	20621.250000	16384	60	60	1	20606.000000	20638.000000	90.156780	NaN	NaN	20621.250000	9
2021.12.12 00:11:00	20590.833333	16384	60	60	1	20577.000000	20605.000000	72.344633	NaN	NaN	20590.833333	9
2021.12.12 00:12:00	20565.883333	16384	60	60	1	20556.000000	20576.000000	35.494633	NaN	NaN	20565.883333	1
2021.12.12 00:13:00	20546.516667	16384	60	60	1	20538.000000	20556.000000	26.287853	NaN	NaN	20546.516667	9
2021.12.12 00:14:00	20531.250000	16384	60	60	1	20524.000000	20538.000000	17.546610	NaN	NaN	20531.250000	1
2021.12.12 00:15:00	20518.233333	16384	60	60	1	20513.000000	20524.000000	11.707345	NaN	NaN	20518.233333	9
2021.12.12 00:16:00	20507.783333	16384	60	60	1	20504.000000	20512.000000	6.613277	NaN	NaN	20507.783333	9
2021.12.12 00:17:00	20499.800000	16384	60	60	1	20497.000000	20503.000000	3.891525	NaN	NaN	20499.800000	1
2021.12.12 00:18:00	20492.344262	16384	61	61	1	20488.000000	20496.000000	6.596175	NaN	NaN	20492.344262	9
2021.12.12 00:19:00	20485.355932	0	59	59	1	20483.000000	20488.000000	1.646990	NaN	NaN	20485.355932	0
2021.12.12 00:20:00	20481.483333	0	60	60	1	20479.000000	20484.000000	2.050565	NaN	NaN	20481.483333	9
2021.12.12 00:21:00	20476.967213	0	61	60	1	20474.000000	20479.000000	2.065574	NaN	NaN	20476.967213	9
2021.12.12 00:22:00	20472.542373	0	59	59	1	20471.000000	20474.000000	0.597312	NaN	NaN	20472.542373	0
2021.12.12 00:23:00	20469.524590	0	61	61	1	20467.000000	20471.000000	1.753552	NaN	NaN	20469.524590	9
2021.12.12 00:24:00	20466.372881	0	59	59	1	20465.000000	20468.000000	0.410286	NaN	NaN	20466.372881	0
2021.12.12 00:25:00	20462.766667	0	60	60	1	20460.000000	20465.000000	2.283616	NaN	NaN	20462.766667	9
2021.12.12 00:26:00	20457.650000	0	60	60	1	20455.000000	20460.000000	4.231356	NaN	NaN	20457.650000	9
2021.12.12 00:27:00	20454.250000	0	60	60	1	20453.000000	20455.000000	0.394068	NaN	NaN	20454.250000	9
2021.12.12 00:28:00	20449.733333	0	60	60	1	20447.000000	20453.000000	2.741243	NaN	NaN	20449.733333	0
2021.12.12 00:29:00	20445.900000	0	60	60	1	20445.000000	20447.000000	0.905085	NaN	NaN	20445.900000	9
