$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.15 00:00:00
$Filename; CO2FT_A_Signal_Ref_20211215.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Ref, LSB; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, LSB; Float
$8; Maximum; LSB; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Ref	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	LSB	Flags	Cnt	Sec	MR	LSB	LSB	Units	Deg	Deg	Units	Flags
2021.12.15 00:00:00	15145.283333	0	60	60	1	15144.000000	15147.000000	0.714972	NaN	NaN	15145.283333	0
2021.12.15 00:01:00	15112.675676	0	37	60	1	15098.000000	15146.000000	457.503003	NaN	NaN	15112.675676	9
2021.12.15 00:02:00	15098.683333	0	60	60	1	15096.000000	15100.000000	0.898023	NaN	NaN	15098.683333	9
2021.12.15 00:03:00	15123.352941	16384	51	60	1	15099.000000	15134.000000	162.592941	NaN	NaN	15123.352941	1
2021.12.15 00:04:00	15133.883333	16384	60	60	1	15132.000000	15137.000000	1.799718	NaN	NaN	15133.883333	9
2021.12.15 00:05:00	15136.133333	16384	60	60	1	15134.000000	15138.000000	0.964972	NaN	NaN	15136.133333	1
2021.12.15 00:06:00	15137.266667	16384	60	60	1	15135.000000	15140.000000	1.419209	NaN	NaN	15137.266667	9
2021.12.15 00:07:00	15137.966667	16384	60	60	1	15135.000000	15139.000000	0.981921	NaN	NaN	15137.966667	9
2021.12.15 00:08:00	15139.050000	16384	60	60	1	15137.000000	15141.000000	0.997458	NaN	NaN	15139.050000	1
2021.12.15 00:09:00	15140.233333	16384	60	60	1	15139.000000	15142.000000	0.487006	NaN	NaN	15140.233333	1
2021.12.15 00:10:00	15141.083333	16384	60	60	1	15140.000000	15143.000000	0.620056	NaN	NaN	15141.083333	1
2021.12.15 00:11:00	15141.716667	16384	60	60	1	15140.000000	15144.000000	0.918362	NaN	NaN	15141.716667	9
2021.12.15 00:12:00	15142.133333	16384	60	60	1	15140.000000	15144.000000	0.998870	NaN	NaN	15142.133333	9
2021.12.15 00:13:00	15143.200000	16384	60	60	1	15140.000000	15145.000000	1.179661	NaN	NaN	15143.200000	1
2021.12.15 00:14:00	15142.933333	16384	60	60	1	15141.000000	15145.000000	0.944633	NaN	NaN	15142.933333	1
2021.12.15 00:15:00	15143.366667	16384	60	60	1	15142.000000	15145.000000	0.609040	NaN	NaN	15143.366667	9
2021.12.15 00:16:00	15142.416667	16384	60	60	1	15140.000000	15145.000000	1.569209	NaN	NaN	15142.416667	1
2021.12.15 00:17:00	15143.383333	16384	60	60	1	15142.000000	15145.000000	0.681073	NaN	NaN	15143.383333	9
2021.12.15 00:18:00	15142.450000	16384	60	60	1	15140.000000	15144.000000	0.895763	NaN	NaN	15142.450000	1
2021.12.15 00:19:00	15143.116667	0	60	60	1	15141.000000	15145.000000	0.816667	NaN	NaN	15143.116667	0
2021.12.15 00:20:00	15143.433333	0	60	60	1	15142.000000	15146.000000	1.164972	NaN	NaN	15143.433333	9
2021.12.15 00:21:00	15143.216667	0	60	60	1	15141.000000	15145.000000	1.359040	NaN	NaN	15143.216667	0
2021.12.15 00:22:00	15143.666667	0	60	60	1	15141.000000	15145.000000	0.903955	NaN	NaN	15143.666667	9
2021.12.15 00:23:00	15144.166667	0	60	60	1	15142.000000	15146.000000	0.785311	NaN	NaN	15144.166667	9
2021.12.15 00:24:00	15144.633333	0	60	60	1	15143.000000	15146.000000	0.642938	NaN	NaN	15144.633333	0
2021.12.15 00:25:00	15144.550000	0	60	60	1	15143.000000	15146.000000	0.794068	NaN	NaN	15144.550000	0
2021.12.15 00:26:00	15144.516667	0	60	60	1	15143.000000	15146.000000	0.525141	NaN	NaN	15144.516667	0
2021.12.15 00:27:00	15144.916667	0	60	60	1	15143.000000	15147.000000	0.620056	NaN	NaN	15144.916667	0
2021.12.15 00:28:00	15144.300000	0	60	60	1	15142.000000	15146.000000	1.027119	NaN	NaN	15144.300000	0
2021.12.15 00:29:00	15144.100000	0	60	60	1	15142.000000	15147.000000	1.684746	NaN	NaN	15144.100000	0
2021.12.15 00:30:00	15144.250000	0	60	60	1	15142.000000	15146.000000	0.936441	NaN	NaN	15144.250000	0
2021.12.15 00:31:00	15144.250000	0	60	60	1	15143.000000	15146.000000	0.665254	NaN	NaN	15144.250000	0
2021.12.15 00:32:00	15143.716667	0	60	60	1	15142.000000	15146.000000	0.952260	NaN	NaN	15143.716667	9
2021.12.15 00:33:00	15144.416667	0	60	60	1	15142.000000	15147.000000	1.298023	NaN	NaN	15144.416667	0
2021.12.15 00:34:00	15143.350000	0	60	60	1	15142.000000	15145.000000	0.570339	NaN	NaN	15143.350000	0
2021.12.15 00:35:00	15143.683333	0	60	60	1	15142.000000	15145.000000	0.830226	NaN	NaN	15143.683333	0
2021.12.15 00:36:00	15143.950000	0	60	60	1	15142.000000	15146.000000	0.895763	NaN	NaN	15143.950000	0
2021.12.15 00:37:00	15144.200000	0	60	60	1	15143.000000	15145.000000	0.433898	NaN	NaN	15144.200000	0
2021.12.15 00:38:00	15144.116667	0	60	60	1	15143.000000	15145.000000	0.375989	NaN	NaN	15144.116667	9
2021.12.15 00:39:00	15144.233333	0	60	60	1	15142.000000	15146.000000	0.758192	NaN	NaN	15144.233333	0
2021.12.15 00:40:00	15144.533333	0	60	60	1	15142.000000	15146.000000	0.998870	NaN	NaN	15144.533333	0
2021.12.15 00:41:00	15144.016667	0	60	60	1	15142.000000	15146.000000	0.931921	NaN	NaN	15144.016667	0
2021.12.15 00:42:00	15144.400000	0	60	60	1	15142.000000	15146.000000	0.854237	NaN	NaN	15144.400000	0
2021.12.15 00:43:00	15144.266667	0	60	60	1	15142.000000	15146.000000	0.910734	NaN	NaN	15144.266667	0
