$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.09 00:00:04
$Filename; CO2FT_A_T_Control_20211209.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; T_Control, °C; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, °C; Float
$8; Maximum; °C; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	T_Control	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	°C	Flags	Cnt	Sec	MR	°C	°C	Units	Deg	Deg	Units	Flags
2021.12.09 00:00:00	50.000847	0	59	60	1	49.969000	50.020000	0.000091	NaN	NaN	50000.847458	0
2021.12.09 00:01:00	49.999526	0	38	59	1	49.983000	50.012000	0.000052	NaN	NaN	49999.526316	9
2021.12.09 00:02:00	50.002150	0	60	60	1	49.989000	50.015000	0.000050	NaN	NaN	50002.150000	0
2021.12.09 00:03:00	50.002373	16384	51	60	1	49.991000	50.017000	0.000031	NaN	NaN	50002.372549	1
2021.12.09 00:04:00	50.000617	16384	60	61	1	49.986000	50.016000	0.000048	NaN	NaN	50000.616667	1
2021.12.09 00:05:00	50.001098	16384	61	60	1	49.980000	50.024000	0.000058	NaN	NaN	50001.098361	1
2021.12.09 00:06:00	50.000867	16384	60	60	1	49.987000	50.014000	0.000047	NaN	NaN	50000.866667	1
2021.12.09 00:07:00	50.000034	16384	59	59	1	49.956000	50.015000	0.000078	NaN	NaN	50000.033898	1
2021.12.09 00:08:00	49.999525	16384	61	61	1	49.987000	50.011000	0.000031	NaN	NaN	49999.524590	9
2021.12.09 00:09:00	50.000610	16384	59	59	1	49.982000	50.021000	0.000048	NaN	NaN	50000.610169	9
2021.12.09 00:10:00	49.999836	16384	61	60	1	49.983000	50.020000	0.000051	NaN	NaN	49999.836066	1
2021.12.09 00:11:00	50.000750	16384	60	60	1	49.990000	50.015000	0.000042	NaN	NaN	50000.750000	9
2021.12.09 00:12:00	50.000288	16384	59	60	1	49.984000	50.016000	0.000058	NaN	NaN	50000.288136	9
2021.12.09 00:13:00	49.999525	16384	61	62	1	49.983000	50.013000	0.000037	NaN	NaN	49999.524590	1
2021.12.09 00:14:00	49.997949	16384	59	58	1	49.970000	50.017000	0.000061	NaN	NaN	49997.949153	9
2021.12.09 00:15:00	50.000017	16384	60	60	1	49.952000	50.021000	0.000106	NaN	NaN	50000.016667	1
2021.12.09 00:16:00	50.000574	16384	61	61	1	49.984000	50.019000	0.000052	NaN	NaN	50000.573770	1
2021.12.09 00:17:00	49.999186	16384	59	59	1	49.978000	50.020000	0.000056	NaN	NaN	49999.186441	9
2021.12.09 00:18:00	50.000233	16384	60	59	1	49.981000	50.015000	0.000053	NaN	NaN	50000.233333	1
2021.12.09 00:19:00	50.000133	0	60	60	1	49.982000	50.016000	0.000048	NaN	NaN	50000.133333	0
2021.12.09 00:20:00	50.000517	0	60	59	1	49.966000	50.011000	0.000054	NaN	NaN	50000.516667	0
2021.12.09 00:21:00	49.999067	0	60	60	1	49.976000	50.015000	0.000079	NaN	NaN	49999.066667	0
2021.12.09 00:22:00	50.001262	0	61	61	1	49.985000	50.016000	0.000050	NaN	NaN	50001.262295	0
2021.12.09 00:23:00	49.999508	0	59	58	1	49.983000	50.016000	0.000050	NaN	NaN	49999.508475	0
2021.12.09 00:24:00	49.999867	0	60	60	1	49.976000	50.016000	0.000047	NaN	NaN	49999.866667	0
2021.12.09 00:25:00	49.999667	0	60	60	1	49.984000	50.012000	0.000046	NaN	NaN	49999.666667	0
2021.12.09 00:26:00	49.999183	0	60	60	1	49.975000	50.015000	0.000073	NaN	NaN	49999.183333	9
2021.12.09 00:27:00	49.999902	0	61	60	1	49.978000	50.015000	0.000048	NaN	NaN	49999.901639	0
2021.12.09 00:28:00	50.000780	0	59	59	1	49.988000	50.019000	0.000039	NaN	NaN	50000.779661	0
2021.12.09 00:29:00	49.999197	0	61	61	1	49.974000	50.016000	0.000066	NaN	NaN	49999.196721	0
2021.12.09 00:30:00	49.999317	0	60	59	1	49.987000	50.013000	0.000035	NaN	NaN	49999.316667	9
2021.12.09 00:31:00	49.999441	0	59	59	1	49.988000	50.008000	0.000027	NaN	NaN	49999.440678	9
2021.12.09 00:32:00	49.999475	0	61	60	1	49.985000	50.017000	0.000043	NaN	NaN	49999.475410	9
2021.12.09 00:33:00	50.000458	0	59	60	1	49.987000	50.021000	0.000041	NaN	NaN	50000.457627	0
