$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.11 00:00:07
$Filename; CO2FT_A_T_Gas_20211211.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; T_Gas, °C; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, °C; Float
$8; Maximum; °C; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	T_Gas	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	°C	Flags	Cnt	Sec	MR	°C	°C	Units	Deg	Deg	Units	Flags
2021.12.11 00:00:00	32.034550	0	60	60	1	32.020000	32.060000	0.000118	NaN	NaN	32034.550000	9
2021.12.11 00:01:00	32.087135	0	37	60	1	32.029000	32.130000	0.000920	NaN	NaN	32087.135135	9
2021.12.11 00:02:00	32.116100	0	60	60	1	32.090000	32.139000	0.000145	NaN	NaN	32116.100000	0
2021.12.11 00:03:00	32.073538	16384	52	61	1	32.039000	32.139000	0.000558	NaN	NaN	32073.538462	9
2021.12.11 00:04:00	32.081441	16384	59	59	1	32.050000	32.109000	0.000190	NaN	NaN	32081.440678	9
2021.12.11 00:05:00	32.110600	16384	60	60	1	32.079000	32.139000	0.000199	NaN	NaN	32110.600000	1
2021.12.11 00:06:00	32.150900	16384	60	60	1	32.119000	32.169000	0.000181	NaN	NaN	32150.900000	1
2021.12.11 00:07:00	32.182700	16384	60	60	1	32.160000	32.219000	0.000211	NaN	NaN	32182.700000	1
2021.12.11 00:08:00	32.202984	16384	61	61	1	32.179000	32.230000	0.000129	NaN	NaN	32202.983607	1
2021.12.11 00:09:00	32.220305	16384	59	59	1	32.189000	32.249000	0.000203	NaN	NaN	32220.305085	9
2021.12.11 00:10:00	32.232800	16384	60	60	1	32.200000	32.259000	0.000162	NaN	NaN	32232.800000	1
2021.12.11 00:11:00	32.250100	16384	60	60	1	32.219000	32.279000	0.000140	NaN	NaN	32250.100000	1
2021.12.11 00:12:00	32.259300	16384	60	60	1	32.239000	32.289000	0.000154	NaN	NaN	32259.300000	1
2021.12.11 00:13:00	32.254607	16384	61	61	1	32.239000	32.279000	0.000141	NaN	NaN	32254.606557	1
2021.12.11 00:14:00	32.255517	16384	60	60	1	32.219000	32.270000	0.000107	NaN	NaN	32255.516667	9
2021.12.11 00:15:00	32.249695	16384	59	59	1	32.230000	32.270000	0.000131	NaN	NaN	32249.694915	9
2021.12.11 00:16:00	32.250667	16384	60	60	1	32.230000	32.279000	0.000133	NaN	NaN	32250.666667	9
